,Balance,NumOfProducts,Tenure,Exited,CreditScore,Age,EstimatedSalary,HasCrCard_Yes,IsActiveMember_Yes,Geography_Germany,Geography_Spain,Gender_Male,Balance_v_Salary,Income_v_Products
0,0.0,1,2,1,619,42.0,101348.88,True,True,False,False,False,0.0,101348.88
1,83807.86,1,1,0,608,41.0,112542.58,True,True,False,True,False,0.7446769036217226,112542.58
2,159660.8,3,8,1,502,42.0,113931.57,False,False,False,False,False,1.4013745268322026,37977.19
3,0.0,2,1,0,699,39.0,93826.63,False,False,False,False,False,0.0,46913.315
4,125510.82,1,2,0,850,43.0,79084.1,True,True,False,True,False,1.5870550464631954,79084.1
5,113755.78,2,8,1,645,44.0,149756.71,False,False,False,True,True,0.7596038935417319,74878.355
6,0.0,2,7,0,822,50.0,10062.8,True,True,False,False,True,0.0,5031.4
7,115046.74,4,4,1,376,29.0,119346.88,False,False,True,False,False,0.9639693974404694,29836.72
8,142051.07,2,4,0,501,44.0,74940.5,True,True,False,False,True,1.8955180443151567,37470.25
9,134603.88,1,2,0,684,27.0,71725.73,True,True,False,False,True,1.876647055387237,71725.73
10,102016.72,2,6,0,528,31.0,80181.12,False,False,False,False,True,1.2723284483928388,40090.56
11,0.0,2,3,0,497,24.0,76390.01,False,False,False,True,True,0.0,38195.005
12,0.0,2,10,0,476,34.0,26260.98,False,False,False,False,False,0.0,13130.49
13,0.0,2,5,0,549,25.0,190857.79,False,False,False,False,False,0.0,95428.895
14,0.0,2,7,0,635,35.0,65951.65,True,True,False,True,False,0.0,32975.825
15,143129.41,2,3,0,616,45.0,64327.26,True,True,True,False,True,2.2250195329320728,32163.63
16,132602.88,1,1,1,653,58.0,5097.67,False,False,True,False,True,26.01244882465911,5097.67
17,0.0,2,9,0,549,24.0,14406.41,True,True,False,True,False,0.0,7203.205
18,0.0,1,6,0,587,45.0,158684.81,False,False,False,True,True,0.0,158684.81
19,0.0,2,6,0,726,24.0,54724.03,True,True,False,False,False,0.0,27362.015
20,0.0,2,8,0,732,41.0,170886.17,True,True,False,False,True,0.0,85443.085
21,0.0,2,8,0,636,32.0,138555.46,False,False,False,True,False,0.0,69277.73
22,0.0,1,4,1,510,38.0,118913.53,False,False,False,True,False,0.0,118913.53
23,0.0,2,3,0,669,46.0,8487.75,True,True,False,False,True,0.0,4243.875
24,0.0,1,5,0,846,38.0,187616.16,True,True,False,False,False,0.0,187616.16
25,0.0,2,3,0,577,25.0,124508.29,True,True,False,False,True,0.0,62254.145
26,136815.64,1,2,0,756,36.0,170041.95,True,True,True,False,True,0.8045993356345302,170041.95
27,0.0,2,9,0,571,44.0,38433.35,False,False,False,False,True,0.0,19216.675
28,141349.43,1,3,0,574,37.0,100191.725,True,True,True,False,False,1.4107894639003369,100191.725
29,59697.17,2,0,0,411,29.0,53483.21,True,True,False,False,True,1.1161852476693153,26741.605
30,0.0,3,3,1,591,39.0,140469.38,False,False,False,True,False,0.0,46823.12666666667
31,85311.7,1,7,0,533,36.0,156731.91,True,True,False,False,True,0.5443160872600863,156731.91
32,110112.54,2,9,0,553,41.0,81898.81,False,False,True,False,True,1.344494993272796,40949.405
33,0.0,2,6,0,520,42.0,34410.55,True,True,False,True,False,0.0,17205.275
34,0.0,2,9,0,722,29.0,142033.07,True,True,False,True,False,0.0,71016.535
35,134264.04,1,0,1,475,45.0,27822.99,False,False,False,False,False,4.825651017378075,27822.99
36,145260.23,1,3,0,490,31.0,114066.77,True,True,False,True,True,1.273466672195592,114066.77
37,76548.6,1,7,0,804,33.0,98453.45,True,True,False,True,True,0.7775105900301108,98453.45
38,0.0,1,7,0,850,36.0,40812.9,True,True,False,False,True,0.0,40812.9
39,70349.48,2,6,0,582,41.0,178074.04,True,True,True,False,True,0.3950574716000153,89037.02
40,0.0,1,4,0,472,40.0,70154.22,False,False,False,True,True,0.0,70154.22
41,122522.32,1,8,1,465,51.0,181297.65,False,False,False,False,False,0.675807546319547,181297.65
42,117419.35,1,2,0,556,61.0,94153.83,True,True,False,False,False,1.2471011535059169,94153.83
43,131394.56,1,2,1,834,49.0,194365.76,False,False,False,False,False,0.6760170104034784,194365.76
44,155931.11,1,5,0,660,61.0,158338.39,True,True,False,True,False,0.9847966118639957,158338.39
45,109421.13,2,4,0,776,32.0,126517.46,True,True,True,False,False,0.8648697974176844,63258.73
46,112045.67,1,9,1,829,27.0,119708.21,True,True,True,False,False,0.9359898539958119,119708.21
47,137843.8,1,9,1,637,39.0,117622.8,True,True,True,False,False,1.1719139486562127,117622.8
48,103391.38,1,2,0,550,38.0,90878.13,True,True,True,False,True,1.1376926439837616,90878.13
49,103769.22,2,2,0,776,37.0,194099.12,False,False,True,False,False,0.5346197344944171,97049.56
50,116363.37,2,10,0,698,44.0,198059.16,False,False,True,False,True,0.5875182445487499,99029.58
51,146050.97,2,5,0,585,36.0,86424.57,False,False,True,False,True,1.6899241731836212,43212.285
52,0.0,2,5,0,788,33.0,116978.19,False,False,False,False,False,0.0,58489.095
53,125561.97,1,8,1,655,41.0,164040.94,False,False,True,False,True,0.7654306906556375,164040.94
